"ccaa","id_reg","id_ense"
"Andalucía","0","01"
"Aragón","1","02"
"Principado de Asturias","2","03"
"Islas Baleares","3","04"
"Canarias","4","05"
"Cantabria","5","06"
"Castilla y León","6","07"
"Castilla - La Mancha","7","08"
"Cataluña","8","09"
"Comunidad Valenciana","9","10"
"Extremadura","10","11"
"Galicia","11","12"
"Comunidad de Madrid","12","13"
"Región de Murcia","13","14"
"Comunidad Foral de Navarra","14","15"
"País Vasco","15","16"
"La Rioja","16","17"
"Ceuta","17","18"
"Melilla","18","19"
